,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,firstName,lastName,fullName,teamColor,league_name,league_season,shortName,isFromInsideBox
16,2634382827,AttemptSaved,9752,412357,Paul Onuachu,90.7,24.419617839300003,74,,True,True,94.09649122639999,26.4009375,34.4575,1.2199999940000001,0.055650923401117325,,RightFoot,FastBreak,SecondHalf,False,"{'x': 0.8789682539682532, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Paul,Onuachu,Paul Onuachu,#6e2330,Super Lig,2023/2024,,
17,2634384575,Miss,9742,801780,Anastasios Chatzigiovanis,80.23252427279999,43.5103184664,76,,False,False,,,37.12625,3.9764137976,0.03130969777703285,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.46754820171719524, 'y': 0.6772486772486772, 'zoomRatio': 0.6437961767321879}",False,Anastasios,Chatzigiovanis,Anastasios Chatzigiovanis,#2c386a,Super Lig,2023/2024,,
18,2634387133,AttemptSaved,9742,837879,Olimpiu Morutan,75.9529126232,14.540636942999999,80,,True,True,88.8,22.948280259,35.0675,1.2199999940000001,0.014625589363276958,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.7175925925925919, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Olimpiu,Morutan,Olimpiu Morutan,#2c386a,Super Lig,2023/2024,,
19,2634389457,AttemptSaved,9752,1197548,Enis Destan,68.18203883839999,40.385476190999995,84,,True,True,73.9257281576,39.292857143999996,33.92375,1.2199999940000001,0.00865196529775858,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.0201719576719581, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Enis,Destan,Enis Destan,#6e2330,Super Lig,2023/2024,,
20,2634389819,AttemptSaved,9752,1078729,Batista Mendy,91.9,44.2810191037,85,,True,True,97.6666666661,40.805714286,35.75375,1.2199999940000001,0.04921070113778114,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5360449735449745, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Batista,Mendy,Batista Mendy,#6e2330,Super Lig,2023/2024,,
21,2634390197,AttemptSaved,9752,1197548,Enis Destan,94.9649122793,34.68625,86,,False,True,103.577586207,34.68625,31.78875,0.160526315,0.04737809672951698,0.4812,Header,FromCorner,SecondHalf,False,"{'x': 1.5849867724867723, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,Enis,Destan,Enis Destan,#6e2330,Super Lig,2023/2024,,
22,2634390595,Miss,9752,1078729,Batista Mendy,79.21893204,28.034761904000003,86,,False,False,,,30.568749999999998,4.4630344888,0.028019724413752556,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.5206792664589832, 'y': 0.6772486772486772, 'zoomRatio': 0.5736007656728462}",False,Batista,Mendy,Batista Mendy,#6e2330,Super Lig,2023/2024,,
23,2634391787,Miss,9742,466826,Riad Bajic,90.5,24.0692993678,90,0.0,False,False,,,41.31,0.802631575,0.085722915828228,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.10979912106703142, 'zoomRatio': 0.5170998632010942}",False,Riad,Bajic,Riad Bajic,#2c386a,Super Lig,2023/2024,,
24,2634392489,Miss,9742,801780,Anastasios Chatzigiovanis,100.9224137934,37.50750000000001,90,3.0,False,False,,,33.161249999999995,4.0980689704,0.19922593235969543,,Header,RegularPlay,SecondHalf,False,"{'x': 1.1386121932415614, 'y': 0.6772486772486772, 'zoomRatio': 0.6246844595566009}",False,Anastasios,Chatzigiovanis,Anastasios Chatzigiovanis,#2c386a,Super Lig,2023/2024,,
25,2634392903,AttemptSaved,9752,200628,Anastasios Bakasetas,93.6,9.7732701479,90,5.0,True,True,100.25862069,25.071250000000003,36.8975,0.5329473658000001,0.03924235329031944,,LeftFoot,FreeKick,SecondHalf,False,"{'x': 0.23346560846560827, 'y': 0.14099136661375664, 'zoomRatio': 1}",False,Anastasios,Bakasetas,Anastasios Bakasetas,#6e2330,Super Lig,2023/2024,,
0,2634331957,AttemptSaved,9750,449999,Taylan Antalyali,82.8228155344,27.446428571,18,,True,True,86.0308823524,27.950714285,32.856249999999996,1.2199999940000001,0.02489503100514412,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3025793650793662, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Taylan,Antalyali,Taylan Antalyali,#DE0102,Super Lig,2023/2024,,
1,2634335707,AttemptSaved,2088,1073569,Can Keles,85.17205882280001,18.814522295299998,22,,False,True,102.9137931036,33.00875,32.0175,0.7319999964,0.020038703456521034,0.0612,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.5244708994709, 'y': 0.19365079269841268, 'zoomRatio': 1}",False,Can,Keles,Can Keles,#B41D2C,Super Lig,2023/2024,,
2,2634338957,Miss,9750,305679,Emre Kilinc,95.9298245603,35.9825,26,,False,False,,,35.75375,4.8280000072,0.19492240250110626,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.7539923641355405, 'y': 0.6772486772486772, 'zoomRatio': 0.5302402643293849}",False,Emre,Kilinc,Emre Kilinc,#DE0102,Super Lig,2023/2024,,
3,2634341031,AttemptSaved,9750,820971,Soner Gönül,77.9800970888,41.7146875,28,,True,True,91.3,37.58375000000001,32.24625,1.2199999940000001,0.010283738374710083,,LeftFoot,FromCorner,FirstHalf,False,"{'x': 1.4639550264550256, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Soner,Gönül,Soner Gönül,#DE0102,Super Lig,2023/2024,,
4,2634341795,AttemptSaved,2088,309258,Marcus Rohdén,82.7101941752,25.938437500000003,29,,True,True,89.3,28.118809523000003,33.695,1.2199999940000001,0.03320268169045448,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.0806878306878307, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Marcus,Rohdén,Marcus Rohdén,#B41D2C,Super Lig,2023/2024,,
5,2634343367,Miss,2088,1080172,Levent Mercan,76.966504856,21.7571974559,31,,False,False,,,27.110238095,2.3179999886000004,0.03147265315055847,,LeftFoot,FreeKick,FirstHalf,False,"{'x': 2, 'y': 0.3364412327395224, 'zoomRatio': 0.5486401492708768}",False,Levent,Mercan,Levent Mercan,#B41D2C,Super Lig,2023/2024,,
6,2634395807,AttemptSaved,9750,1072519,Ercan Kara,102.25000000019999,39.713095239,49,,True,True,102.72413793119999,39.460952381999995,35.525000000000006,1.2199999940000001,0.1187770888209343,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5965608465608451, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Ercan,Kara,Ercan Kara,#DE0102,Super Lig,2023/2024,,
